timestamp,temperature,humidity,pm25,co2,light,noise,status
2026-01-01 00:00:00,30.24,81.19,26.9,359.22,320.48,51.61,Good
2026-01-01 00:10:00,28.65,77.4,33.27,463.96,445.32,51.37,Good
2026-01-01 00:20:00,30.62,70.48,25.49,508.64,452.7,40.63,Good
2026-01-01 00:30:00,32.81,64.82,31.3,738.77,520.89,52.36,Good
2026-01-01 00:40:00,28.41,75.59,12.28,605.66,244.97,60.86,Good
2026-01-01 00:50:00,28.41,73.15,37.56,416.45,538.89,44.81,Good
2026-01-01 01:00:00,32.95,77.16,35.01,598.6,50.0,63.39,Good
2026-01-01 01:10:00,30.92,75.08,25.19,395.27,355.52,58.9,Good
2026-01-01 01:20:00,27.83,78.4,42.91,658.27,376.76,49.13,Good
2026-01-01 01:30:00,30.36,65.72,46.25,502.89,545.0,53.87,Good
2026-01-01 01:40:00,27.84,80.54,15.71,540.64,453.39,67.79,Moderate
2026-01-01 01:50:00,27.84,71.58,25.85,682.58,239.17,60.87,Good
2026-01-01 02:00:00,29.6,86.6,25.77,421.28,302.25,55.07,Good
2026-01-01 02:10:00,24.22,64.49,23.72,410.29,479.8,53.1,Good
2026-01-01 02:20:00,24.69,83.89,44.95,491.64,438.14,55.61,Good
2026-01-01 02:30:00,27.59,71.58,32.67,653.84,363.13,50.91,Good
2026-01-01 02:40:00,26.47,64.79,31.83,398.07,377.87,38.16,Good
2026-01-01 02:50:00,29.79,66.13,10.95,350.0,554.43,71.34,Moderate
2026-01-01 03:00:00,26.73,67.44,42.63,504.88,372.35,56.24,Good
2026-01-01 03:10:00,25.47,73.39,20.13,605.17,436.79,58.19,Good
2026-01-01 03:20:00,32.66,74.18,35.72,670.03,775.49,54.54,Good
2026-01-01 03:30:00,28.44,65.41,38.33,503.68,236.45,49.12,Good
2026-01-01 03:40:00,29.17,69.81,51.33,508.86,172.22,53.51,Moderate
2026-01-01 03:50:00,25.44,87.14,19.29,665.39,567.54,42.2,Good
2026-01-01 04:00:00,27.64,83.82,5.0,363.03,348.2,73.22,Moderate
2026-01-01 04:10:00,29.28,73.49,37.21,511.15,402.26,45.12,Good
2026-01-01 04:20:00,26.12,70.3,56.61,569.04,332.83,46.74,Moderate
2026-01-01 04:30:00,29.94,70.96,49.87,594.92,411.03,51.48,Good
2026-01-01 04:40:00,27.5,74.91,37.52,499.02,689.78,65.3,Moderate
2026-01-01 04:50:00,41.2,79.59,130.98,1162.47,570.32,78.06,Poor
2026-01-01 05:00:00,27.5,67.94,44.69,350.0,579.33,45.11,Good
2026-01-01 05:10:00,33.63,56.65,23.32,484.18,237.57,65.03,Moderate
2026-01-01 05:20:00,28.97,73.19,40.72,595.35,277.33,60.85,Good
2026-01-01 05:30:00,26.36,75.18,41.07,451.77,50.0,59.31,Good
2026-01-01 05:40:00,31.06,66.13,47.72,555.9,328.59,60.73,Good
2026-01-01 05:50:00,25.95,82.59,68.12,594.69,593.51,74.15,Moderate
2026-01-01 06:00:00,29.52,60.19,39.71,515.75,527.54,72.48,Moderate
2026-01-01 06:10:00,24.1,58.29,28.89,567.05,416.77,49.51,Good
2026-01-01 06:20:00,25.68,71.8,34.69,453.73,446.65,67.99,Moderate
2026-01-01 06:30:00,29.49,78.38,13.77,529.34,346.67,58.07,Good
2026-01-01 06:40:00,30.85,83.47,26.66,611.02,480.71,58.99,Good
2026-01-01 06:50:00,29.43,66.33,30.09,565.7,564.88,41.46,Good
2026-01-01 07:00:00,39.06,96.54,132.37,898.56,207.62,82.97,Poor
2026-01-01 07:10:00,28.25,69.69,36.83,572.42,494.95,48.5,Good
2026-01-01 07:20:00,34.18,93.31,88.31,1380.91,589.87,78.54,Poor
2026-01-01 07:30:00,41.36,92.71,143.71,860.03,387.73,83.6,Poor
2026-01-01 07:40:00,27.85,75.22,35.0,665.91,555.11,38.4,Good
2026-01-01 07:50:00,31.64,57.39,34.89,516.37,872.2,54.82,Good
2026-01-01 08:00:00,29.86,81.81,31.07,592.55,434.35,63.97,Good
2026-01-01 08:10:00,24.59,81.04,36.86,669.72,509.0,53.51,Good
2026-01-01 08:20:00,29.81,65.0,44.9,412.83,339.29,60.83,Good
2026-01-01 08:30:00,28.04,73.17,24.59,479.06,477.19,57.81,Good
2026-01-01 08:40:00,27.31,73.95,27.1,521.15,519.04,57.73,Good
2026-01-01 08:50:00,30.53,72.09,31.36,471.62,479.23,52.83,Good
2026-01-01 09:00:00,31.58,65.6,18.85,723.49,297.05,45.27,Good
2026-01-01 09:10:00,31.33,64.63,25.17,464.32,480.95,46.03,Good
2026-01-01 09:20:00,26.9,69.8,29.29,494.45,669.33,60.67,Good
2026-01-01 09:30:00,28.23,79.38,45.49,570.44,517.3,55.16,Good
2026-01-01 09:40:00,29.83,74.35,38.15,429.79,594.3,53.89,Good
2026-01-01 09:50:00,31.44,67.04,37.32,510.43,414.45,51.61,Good
2026-01-01 10:00:00,27.8,76.17,45.21,581.75,562.49,52.56,Good
2026-01-01 10:10:00,28.54,47.21,33.35,516.71,491.89,63.38,Good
2026-01-01 10:20:00,26.23,79.19,39.69,540.66,307.36,52.32,Good
2026-01-01 10:30:00,26.01,56.08,33.76,497.07,497.78,44.27,Good
2026-01-01 10:40:00,31.03,67.1,38.18,398.55,301.25,60.95,Good
2026-01-01 10:50:00,32.39,61.04,28.01,582.16,355.07,53.36,Good
2026-01-01 11:00:00,28.82,59.64,5.73,725.49,478.4,55.25,Good
2026-01-01 11:10:00,31.51,79.29,33.39,551.84,494.59,67.86,Moderate
2026-01-01 11:20:00,29.9,66.26,52.07,572.53,271.62,54.84,Moderate
2026-01-01 11:30:00,27.39,72.77,46.11,619.27,608.1,57.31,Good
2026-01-01 11:40:00,29.9,69.62,46.58,423.07,535.8,45.57,Good
2026-01-01 11:50:00,32.85,73.82,49.83,720.25,344.29,53.24,Good
2026-01-01 12:00:00,28.91,70.61,36.06,570.23,219.36,59.88,Good
2026-01-01 12:10:00,32.91,59.74,37.37,713.19,428.26,42.56,Good
2026-01-01 12:20:00,22.45,77.97,27.59,476.7,383.11,56.61,Good
2026-01-01 12:30:00,31.05,66.05,31.21,731.81,466.97,55.81,Good
2026-01-01 12:40:00,29.22,57.55,42.39,627.52,395.53,55.33,Good
2026-01-01 12:50:00,28.25,66.58,49.45,605.3,148.88,63.3,Good
2026-01-01 13:00:00,29.23,82.01,33.33,573.4,391.75,57.68,Good
2026-01-01 13:10:00,24.03,76.8,29.6,525.15,404.16,66.82,Moderate
2026-01-01 13:20:00,28.45,67.21,35.01,670.05,545.05,47.05,Good
2026-01-01 13:30:00,29.89,67.21,42.21,564.04,345.27,56.09,Good
2026-01-01 13:40:00,32.69,67.43,17.67,353.29,701.8,55.68,Good
2026-01-01 13:50:00,27.7,86.61,7.45,438.28,163.25,46.45,Good
2026-01-01 14:00:00,26.98,73.06,28.39,531.42,646.68,62.65,Good
2026-01-01 14:10:00,27.75,73.44,20.35,581.0,416.35,73.6,Moderate
2026-01-01 14:20:00,31.29,78.24,28.9,544.34,578.94,54.86,Good
2026-01-01 14:30:00,29.82,71.91,33.23,671.9,461.97,59.04,Good
2026-01-01 14:40:00,27.68,67.93,29.56,354.89,620.93,55.68,Good
2026-01-01 14:50:00,30.28,68.43,52.43,564.36,391.9,49.29,Moderate
2026-01-01 15:00:00,29.24,69.43,38.92,368.2,285.21,40.43,Good
2026-01-01 15:10:00,31.42,69.7,38.61,625.97,663.08,49.35,Good
2026-01-01 15:20:00,27.24,75.82,42.47,540.55,432.98,43.86,Good
2026-01-01 15:30:00,28.18,70.42,21.33,591.96,483.23,68.63,Moderate
2026-01-01 15:40:00,28.02,75.86,47.47,463.61,635.21,54.08,Good
2026-01-01 15:50:00,25.34,69.35,34.09,677.95,295.21,52.23,Good
2026-01-01 16:00:00,29.74,70.63,43.05,654.17,539.32,62.11,Good
2026-01-01 16:10:00,38.07,73.5,126.89,1393.98,361.52,66.37,Poor
2026-01-01 16:20:00,29.01,77.33,16.35,537.05,430.17,48.87,Good
2026-01-01 16:30:00,28.41,72.77,44.81,607.99,460.84,55.54,Good
2026-01-01 16:40:00,25.46,77.98,39.52,479.31,224.97,63.23,Good
2026-01-01 16:50:00,39.91,70.13,114.01,1162.16,333.17,82.67,Poor
2026-01-01 17:00:00,28.14,86.71,24.56,714.95,652.66,56.99,Good
2026-01-01 17:10:00,26.99,68.88,48.51,657.06,582.93,55.62,Good
2026-01-01 17:20:00,28.6,78.87,20.73,477.04,440.6,58.2,Good
2026-01-01 17:30:00,30.01,61.68,54.71,586.14,486.47,56.61,Moderate
2026-01-01 17:40:00,33.72,74.9,24.19,420.69,405.86,46.76,Moderate
2026-01-01 17:50:00,42.74,81.28,106.65,1344.59,653.49,75.77,Poor
2026-01-01 18:00:00,29.64,65.01,31.06,595.06,419.95,46.41,Good
2026-01-01 18:10:00,28.81,85.31,42.24,363.02,484.78,55.65,Good
2026-01-01 18:20:00,24.2,68.47,28.47,433.82,621.9,51.15,Good
2026-01-01 18:30:00,28.93,71.74,33.05,521.69,333.39,75.32,Moderate
2026-01-01 18:40:00,29.15,76.96,35.49,519.91,683.82,54.68,Good
2026-01-01 18:50:00,35.16,73.97,22.97,429.05,220.43,43.77,Moderate
2026-01-01 19:00:00,28.52,71.2,43.89,588.9,694.45,53.93,Good
2026-01-01 19:10:00,41.86,96.25,138.79,1339.9,394.1,84.52,Poor
2026-01-01 19:20:00,28.91,89.23,32.26,530.57,413.6,68.39,Moderate
2026-01-01 19:30:00,26.08,69.54,23.07,474.42,166.5,50.28,Good
2026-01-01 19:40:00,31.86,71.61,5.0,654.87,381.78,42.34,Good
2026-01-01 19:50:00,30.88,78.41,32.71,715.54,294.03,61.53,Good
2026-01-01 20:00:00,30.98,78.84,63.95,501.64,358.85,43.96,Moderate
2026-01-01 20:10:00,26.73,79.5,44.42,488.78,429.4,51.51,Good
2026-01-01 20:20:00,32.51,75.11,34.77,599.12,593.67,52.94,Good
2026-01-01 20:30:00,25.5,60.86,31.85,514.2,481.14,54.44,Good
2026-01-01 20:40:00,30.47,83.07,35.27,536.06,496.15,60.51,Good
